Organização,Deployment,payments v3.0
Ebanx Instituicao de Pagamento Ltda.,-Ebanx-October-2023,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/21018182_-Ebanx-October-2023_payments_v3_11-10-2023.json)
PICPAY SERVICOS S.A.,payments-v3,[07-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/22896431_payments-v3_payments_v3_07-10-2023.json)
BANCO DIGIO S.A.,Digio---Open-Banking---Fase-3---V3,[04-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/27098060_Digio---Open-Banking---Fase-3---V3_payments_v3_04-10-2023.json)
BANCO DIGIO S.A.,Digio-Uber---Open-Banking---Fase-3---V3,[04-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/27098060_Digio-Uber---Open-Banking---Fase-3---V3_payments_v3_04-10-2023.json)
"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",Orbi-Bank-1.23.0-,[04-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/27351731_Orbi-Bank-1.23.0-_payments_v3_04-10-2023.json)
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO,Open-Finance-Banestes-3.0,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/28127603_Open-Finance-Banestes-3.0_payments_v3_11-10-2023.json)
BANCO ABC BRASIL S.A.,v3.0.0,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/28195667_v3.0.0_payments_v3_03-10-2023.json)
BANCO BTG PACTUAL S.A.,BTG-Banking-Fase-3v3,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/30306294_BTG-Banking-Fase-3v3_payments_v3_11-10-2023.json)
BANCO BTG PACTUAL S.A.,BTG-Empresas-Fase-3v3,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/30306294_BTG-Empresas-Fase-3v3_payments_v3_11-10-2023.json)
BANQI INSTITUICAO DE PAGAMENTO LTDA,payments-v3,[05-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/30723871_payments-v3_payments_v3_05-10-2023.json)
U4C INSTITUICAO DE PAGAMENTO SA,Iniciador-SaaS-Detentora-v1.2.0,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/30980539_Iniciador-SaaS-Detentora-v1.2.0_payments_v3_11-10-2023.json)
BANCO C6 S.A.,Payments-API-–-Based-on-Swagger-version;-v3.0.0,[10-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/31872495_Payments-API-–-Based-on-Swagger-version;-v3.0.0_payments_v3_10-10-2023.json)
BANCO GUANABARA S.A.,Deployment-3.0,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/31880826_Deployment-3.0_payments_v3_11-10-2023.json)
BANCO J.P. MORGAN S.A.,J.P.-Morgan-Open-Finance-V3.0,[17-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/33172537_J.P.-Morgan-Open-Finance-V3.0_payments_v3_17-10-2023.json)
BANCO XP S.A.,BANCO-XP-S.A.-Open-Banking-2.0,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/33264668_BANCO-XP-S.A.-Open-Banking-2.0_payments_v3_11-10-2023.json)
Banco Master S.A.,Payments-3.0.0,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/33923798_Payments-3.0.0_payments_v3_03-10-2023.json)
OTIMO SOCIEDADE DE CREDITO DIRETO S.A.,ÓTIMO-SCD-OBB-V3,[04-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/34335592_ÓTIMO-SCD-OBB-V3_payments_v3_04-10-2023.json)
Will S.A. Instituicao de Pagamento,Openbanking-Brasil-v3,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/36272465_Openbanking-Brasil-v3_payments_v3_11-10-2023.json)
BONUSPAGO SOCIEDADE DE CREDITO DIRETO S.A.,Crystal-OFB-v3.0.0,[13-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/36586946_Crystal-OFB-v3.0.0_payments_v3_13-10-2023.json)
ACCREDITO - SOCIEDADE DE CREDITO DIRETO S.A.,ACCredito-Lina-OPFI-payments-v3,[07-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/37715993_ACCredito-Lina-OPFI-payments-v3_payments_v3_07-10-2023.json)
"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",-Open-Banking---Fase-3---V3,[10-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/43180355_-Open-Banking---Fase-3---V3_payments_v3_10-10-2023.json)
BANCO GENIAL S.A.,Banco-Genial-–-GO!BaaS-2.0,[10-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/45246410_Banco-Genial-–-GO!BaaS-2.0_payments_v3_10-10-2023.json)
BANCO ARBI S.A.,Banco-Arbi-Payments-v3.0.0,[06-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/54403563_Banco-Arbi-Payments-v3.0.0_payments_v3_06-10-2023.json)
BANCO FIBRA S.A.,3.0.0,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/58616418_3.0.0_payments_v3_11-10-2023.json)
BANCO PAN S.A.,Banco-Pan-OpenFinance-V1.1,[10-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/59285411_Banco-Pan-OpenFinance-V1.1_payments_v3_10-10-2023.json)
BANCO VOTORANTIM S.A.,V3.0.0-API-PAYMENTS,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/59588111_V3.0.0-API-PAYMENTS_payments_v3_03-10-2023.json)
ITAÚ UNIBANCO S.A.,Open-Banking-Brazil-v3.0.0,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/60701190_Open-Banking-Brazil-v3.0.0_payments_v3_03-10-2023.json)
BANCO BRADESCO SA,5.1.9,[06-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/60746948_5.1.9_payments_v3_06-10-2023.json)
BANCO VOITER SA,Plataforma-Tecban-API-Payments-V3.0.0,[07-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/61024352_Plataforma-Tecban-API-Payments-V3.0.0_payments_v3_07-10-2023.json)
BANCO BMG S.A.,Payments-–-Pix---v3,[13-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/61186680_Payments-–-Pix---v3_payments_v3_13-10-2023.json)
CREDISAN COOPERATIVA DE CRÉDITO,Credisan-Payments-3.0-v1,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/62109566_Credisan-Payments-3.0-v1_payments_v3_11-10-2023.json)
BANCO DAYCOVAL S.A.,Banco-Daycoval---Open-Banking-Brazil-V3.0,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/62232889_Banco-Daycoval---Open-Banking-Brazil-V3.0_payments_v3_11-10-2023.json)
BANCO BS2 S.A.,Open-Finance-Banco-Bs2--API-TimeZone,[06-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/71027866_Open-Finance-Banco-Bs2--API-TimeZone_payments_v3_06-10-2023.json)
COOPERATIVA DE CRÉDITO RURAL COOPAVEL,23.0.6,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/76461557_23.0.6_payments_v3_03-10-2023.json)
CREDIALIANÇA COOPERATIVA DE CRÉDITO RURAL,CM-Credialianca-Pagamentos-3.0.0,[13-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/78157146_CM-Credialianca-Pagamentos-3.0.0_payments_v3_13-10-2023.json)
BANCO OURINVEST S.A.,Api-payments-3.0,[17-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/78632767_Api-payments-3.0_payments_v3_17-10-2023.json)
CREDICOAMO CREDITO RURAL COOPERATIVA,CREDICOAMO-API-Payments-v3.0.0,[04-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/81723108_CREDICOAMO-API-Payments-v3.0.0_payments_v3_04-10-2023.json)
BANCO SANTANDER (BRASIL) S.A.,Pagamentos---v3.0.0,[06-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/90400888_Pagamentos---v3.0.0_payments_v3_06-10-2023.json)
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,Banrisul-Open-Finance-v3.0.0-Pagamentos-,[07-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/92702067_Banrisul-Open-Finance-v3.0.0-Pagamentos-_payments_v3_07-10-2023.json)
