Organização,Deployment,consents v2.1,resources v2.1
BANCO DIGIO S.A.,Digio-Uber---Consents-v2.1.0,[19-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/27098060_Digio-Uber---Consents-v2.1.0_consents_v2.1_19-09-2023.json),
BANCO BTG PACTUAL S.A.,BTG-Banking-Fase-4B,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/30306294_BTG-Banking-Fase-4B_consents_v2.1_28-09-2023.json),[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/30306294_BTG-Banking-Fase-4B_resources_v2.1_28-09-2023.json)
BANCO BTG PACTUAL S.A.,BTG-Corporate-Fase-4B,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/30306294_BTG-Corporate-Fase-4B_consents_v2.1_28-09-2023.json),[22-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/30306294_BTG-Corporate-Fase-4B_resources_v2.1_22-09-2023.json)
BANCO BTG PACTUAL S.A.,BTG-Empresas-Fase-4B,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/30306294_BTG-Empresas-Fase-4B_consents_v2.1_28-09-2023.json),[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/30306294_BTG-Empresas-Fase-4B_resources_v2.1_28-09-2023.json)
BANCO BTG PACTUAL S.A.,BTG-Investimentos-Fase-4B,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/30306294_BTG-Investimentos-Fase-4B_consents_v2.1_28-09-2023.json),[22-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/30306294_BTG-Investimentos-Fase-4B_resources_v2.1_22-09-2023.json)
BANCO BTG PACTUAL S.A.,BTG-WM-Fase-4B,[23-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/30306294_BTG-WM-Fase-4B_consents_v2.1_23-09-2023.json),[23-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/30306294_BTG-WM-Fase-4B_resources_v2.1_23-09-2023.json)
BANCO XP S.A.,BANCO-XP-S.A.-Open-Banking-2.0,[22-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/33264668_BANCO-XP-S.A.-Open-Banking-2.0_consents_v2.1_22-09-2023.json),
BANCO CITIBANK S.A.,V2.1.0,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/33479023_V2.1.0_consents_v2.1_25-09-2023.json),[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/33479023_V2.1.0_resources_v2.1_25-09-2023.json)
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,"Resources,-Consents-v2.1.0-e-Fin,-Customer-v2.0.1-","[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/33657248_Resources,-Consents-v2.1.0-e-Fin,-Customer-v2.0.1-_consents_v2.1_26-09-2023.json)","[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/33657248_Resources,-Consents-v2.1.0-e-Fin,-Customer-v2.0.1-_resources_v2.1_26-09-2023.json)"
GERU SOCIEDADE DE CREDITO DIRETO SA,consents-4b-test-plan-v2,[19-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/37763847_consents-4b-test-plan-v2_consents_v2.1_19-09-2023.json),
Belvo Instituicao de Pagamento Ltda.,Belvo-Open-Finance-v1.0,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/43215815_Belvo-Open-Finance-v1.0_consents_v2.1_03-10-2023.json),[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/43215815_Belvo-Open-Finance-v1.0_resources_v2.1_03-10-2023.json)
BANCO SAFRA S.A.,Open-Finance-Brazil,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/58160789_Open-Finance-Brazil_consents_v2.1_26-09-2023.json),[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/58160789_Open-Finance-Brazil_resources_v2.1_26-09-2023.json)
BANCO VOTORANTIM S.A.,BV-OpenFinance-2.0,[05-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/59588111_BV-OpenFinance-2.0_consents_v2.1_05-10-2023.json),[05-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/59588111_BV-OpenFinance-2.0_resources_v2.1_05-10-2023.json)
ITAÚ UNIBANCO S.A.,consents-4b-test-plan-v2,[20-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/60701190_consents-4b-test-plan-v2_consents_v2.1_20-09-2023.json),
BANCO BRADESCO SA,Banco-Bradesco---Open-Finance-Brasil,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/60746948_Banco-Bradesco---Open-Finance-Brasil_consents_v2.1_25-09-2023.json),[23-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/60746948_Banco-Bradesco---Open-Finance-Brasil_resources_v2.1_23-09-2023.json)
BANCO BMG S.A.,Consents---v2.1.0,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/61186680_Consents---v2.1.0_consents_v2.1_25-09-2023.json),
BANCO PAULISTA S.A.,Banco-Paulista-V1.0,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/61820817_Banco-Paulista-V1.0_consents_v2.1_03-10-2023.json),[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/61820817_Banco-Paulista-V1.0_resources_v2.1_03-10-2023.json)
Agora Corretora de Titulos e Valores Mobiliarios SA,Ágora---Open-Finance-Brasil,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/74014747_Ágora---Open-Finance-Brasil_consents_v2.1_26-09-2023.json),[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/74014747_Ágora---Open-Finance-Brasil_resources_v2.1_25-09-2023.json)
BANCO SANTANDER (BRASIL) S.A.,5.1.9,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/90400888_5.1.9_consents_v2.1_28-09-2023.json),[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/90400888_5.1.9_resources_v2.1_28-09-2023.json)
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,Banrisul-Open-Finance-4B-v1.0.0-,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/92702067_Banrisul-Open-Finance-4B-v1.0.0-_consents_v2.1_26-09-2023.json),[21-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/92702067_Banrisul-Open-Finance-4B-v1.0.0-_resources_v2.1_21-09-2023.json)
BANCO COOPERATIVO SICREDI S.A.,-v1.0.1,,[27-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/01181521_-v1.0.1_resources_v2.1_27-09-2023.json)
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,Fase-4B-v1.0.0-rc1.0,,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/02038232_Fase-4B-v1.0.0-rc1.0_resources_v2.1_26-09-2023.json)
BANCO DO NORDESTE DO BRASIL S.A.,2.1.0,,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/07237373_2.1.0_resources_v2.1_28-09-2023.json)
BANCO PAN S.A.,Banco-Pan-OpenFinance-V1.1,,[17-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/59285411_Banco-Pan-OpenFinance-V1.1_resources_v2.1_17-10-2023.json)
ITAÚ UNIBANCO S.A.,resources-4b-test-plan-v2,,[20-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/60701190_resources-4b-test-plan-v2_resources_v2.1_20-09-2023.json)
BANCO BMG S.A.,Resources---v2.1.0,,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/61186680_Resources---v2.1.0_resources_v2.1_25-09-2023.json)
